,category,Fitness,Blood,Diabetes,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Maternal,Phishing,ELO
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,
task_id,,363671,363621,363629,363615,363698,363612,363625,363675,363685,363707,
CAT,ML,0.8030663944343618,0.7078070175438597,0.8392235609103079,700.0401599757595,0.9108357993477078,1.194328921266466,4.349307405056239,4099.415070640934,0.423541489234404,0.21068219564559593,1428.2
EBM,ML,0.8049379915305506,0.711140350877193,0.8519410977242302,711.9699279023017,0.933905919615701,1.8230914958942663,4.378025654572182,4058.6072991706296,0.4953609108924866,0.2357894629240036,1319.7
KNN,ML,0.7947859951603146,0.7039473684210527,0.8226907630522088,742.5808702589322,0.9347266281684382,2.226101772909643,6.060376754495909,4601.137288169586,0.40368014574050903,0.26445460319519043,1048.2
LR,ML,0.8015350877192983,0.7539473684210526,0.8263721552878179,728.5160420265911,0.9768729285149236,4.73505463317741,7.9030084866624035,5578.938995200396,0.7640236616134644,0.33642998337745667,1004.8
REALMLP_GPU,DL,0.8049568965517241,0.7298245614035088,0.8459170013386881,690.2745994021611,0.9014784160630552,1.0118973418753692,4.141370860233445,4071.1783567245207,0.40136799216270447,0.2129228562116623,1663.5
REALTABPFN-V2.5,Foundation,0.8097209618874773,0.7303508771929824,0.8431726907630522,687.6317123672046,0.8866661964472332,0.870428852383852,3.7665874877665413,4030.724697336574,0.3801728631098418,0.20309345139166002,1892.8
FTTransformer,DL,0.8069797338173019,0.7159649122807018,0.8275100401606426,884.3534467049177,1.0236326869317924,3.1313168599635257,6.2630538483766305,4328.37942255068,0.5516511974574335,0.22467492641607956,1100.0
LLMBaseline,LLM,,0.7093859649122807,0.7898259705488622,,1.0715240938086552,,8.513369474178416,5838.997467247002,0.8347154882827691,0.24506427220857213,885.4
LLMBaseline260429-LB-Bidir,LLM,,0.69,0.7846720214190094,,1.0266342957832233,2.592837928566358,7.470530553330592,4217.878240491299,,0.29552577822888093,941.4
LLMBaselineBidirectional260426-BaselineBidir,LLM,,0.6760526315789473,0.7845381526104418,,0.9966533447883537,1.647834833798068,4.94363565261859,4343.292832462609,,,968.4
LLMSlot260506-LS-qwen-bidir,LLM,0.8019320931639443,0.7321929824561404,0.8356760374832664,711.1720255977392,0.9283566306040519,1.0804012098706235,4.731381464367849,4061.056549224364,0.533419852097238,0.22659247166722513,1326.6
LLMSlot260506-LS-qwen-causal,LLM,0.8033121597096189,0.7223684210526315,0.8329986613119144,714.3015217308061,0.9351174004194379,1.108253092304471,4.644545413185544,4050.3901519937617,0.5391981558865696,0.2174876357131779,1322.2
LLMSlot260506-LS-qwen-structured,LLM,0.8041250756200847,0.725,0.8289825970548862,710.833139110363,0.934734847248731,1.0936658472266039,4.720539312502998,4029.893109931243,0.5263549095936114,0.2207449480443203,1354.4
LLMSlot260508-LS-qwen-bidir-num_emb-pwl,LLM,0.8034444948578342,0.7030701754385965,0.8245649263721553,710.0760399652877,0.9227870622373947,1.0921067497451262,4.229118510517131,4073.0360404446533,0.45139267844878345,0.2274822689235201,1316.8
LLMSlot260508-LS-qwen-causal-num_emb-pwl,LLM,0.8037658802177858,0.6983333333333334,0.8187416331994646,709.7153468031393,0.919662037369655,1.084059425732545,4.154804984237513,4071.5982742275924,0.4749416974313659,0.2207336961552364,1339.9
LLMSlot260508-LS-qwen-structured-num_emb-pwl,LLM,0.8030096793708409,0.6962280701754386,0.8182061579651941,705.6073775758753,0.929543457096745,1.0416401151897052,4.289192660031403,4064.6366672428894,0.4612872849677939,0.22287021938300958,1315.3
LLMSlot260514-LS-qwen-structured_v2,LLM,0.8035201149425287,0.7290350877192983,0.8325301204819278,711.5514644840812,0.9467320127080339,1.0536447421538098,4.819150962148206,4034.093006258942,0.5145000243634867,0.22249139068245508,1354.9
LLMSlot260514-LS-qwen-structured_v2-num_emb-pwl,LLM,0.8048812764670297,0.7026315789473684,0.8260374832663989,703.7875117667016,0.9242132942291877,1.0908422185902618,4.205855380105941,4081.8964298086785,0.45638938787256533,0.22356566378667506,1359.4
LLMSlotBoost260510-LSB-qwen-causal-eos4,LLM,0.8030096793708409,0.707280701754386,0.8337349397590361,1886.4507792192712,1.4799161507157073,6.909992233087311,16.654180635566213,11231.973181425663,0.5376987615692737,0.22278706939670107,1021.7
LLMSlotBoost260510-LSB-qwen-causal-trainable4,LLM,0.8034823049001815,0.7253508771929824,0.8311914323962517,1881.7406488882918,1.4812828201151722,6.900483579112223,16.79784152274753,11248.037867363995,0.5123072737951555,0.22565779858911966,1055.4
