,category,Blood,Airfoil
metric,,roc_auc,rmse
CAT,ML,0.7107894736842105,1.4743257730979937
EBM,ML,0.7082456140350877,1.9173663355495552
GBM,ML,0.6629385964912282,1.48537141921174
KNN,ML,0.6749999999999999,3.2473637575363417
LR,ML,0.7310526315789474,5.424097983642563
RF,ML,0.6650877192982456,1.7727015604892042
XGB,ML,0.6631578947368421,1.4270140038469383
XT,ML,0.6742105263157895,1.7070150389205543
FASTAI,DL,0.7268421052631578,2.3118411429582046
MNCA_GPU,DL,0.745438596491228,1.453374096711406
NN_TORCH,DL,0.7416666666666667,1.4743240449401513
REALMLP_GPU,DL,0.7450000000000001,1.1261888658361736
TABM_GPU,DL,0.7017543859649122,1.0877995905350197
XRFM_GPU,DL,0.673859649122807,1.5604451878710464
REALTABPFN-V2.5,Foundation,0.7444298245614036,0.9770421145051592
TABDPT_GPU,Foundation,0.7282894736842105,0.9921872891198709
TABPFNV2_GPU,Foundation,0.7386842105263158,0.9686146785218831
MITRA_GPU,,0.7220175438596491,1.0591131919058265
TABICLV2,,0.7451754385964913,1.015387772184129
TABICL_GPU,,0.7026315789473685,1.7727015604892042
FTTransformer,DL,0.7264912280701754,6.214391184581335
LLMBaseline,LLM,0.7060526315789474,
LLMBaselineBidirectional,LLM,0.5364035087719297,
LLMBaselineBidirectionalPooling,LLM,0.7227192982456141,
TFMLLM,LLM,0.7235964912280701,5.643586264862749
LLMRead260420-LLMRead-GradClip,LLM,0.6974561403508771,1.3195478293323708
